FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
2000,67108864,1048576,3.65740368227402711909e+02,2.62773722627737242874e+01,7.56457564575645768912e+00,3.83211678832116797722e+00,2.03669724770642197598e+01,7.07803992740471787926e+00,8.77513711151736686134e+00,1.18829981718464345875e+01,6.93430656934306544059e+00,1.70329670329670328499e+01,1.19266055045871564033e+01,1.47810218978102199117e+01,1.88644688644688649504e+01
2000,67108864,1048576,5.09043928963937787557e+02,6.36132315521628477484e+00,1.13636363636363633134e+01,1.02301790281329925136e+01,2.75510204081632608109e+01,2.80612244897959195455e+00,3.31632653061224491609e+00,1.55216284987277362006e+01,3.30788804071246778093e+00,9.18367346938775597209e+00,1.98979591836734677202e+01,1.45780051150895157974e+01,2.80612244897959151047e+01
2000,67108864,1048576,5.29669293031856113885e+02,3.42105263157894778914e+00,1.14361702127659565775e+01,5.52631578947368407029e+00,1.52230971128608914000e+01,1.58730158730158721347e+00,1.49606299212598443660e+01,2.32000000000000028422e+01,4.73684210526315840895e+00,2.33421750663129969894e+01,1.06100795755968158041e+00,7.32984293193717206805e+00,4.52127659574468125925e+01
2000,67108864,1048576,4.98636229911192913278e+02,9.95024875621890636523e+00,1.77057356608478784210e+01,1.35802469135802468259e+01,1.47869674185463644278e+01,5.22388059701492490916e+00,2.10526315789473663642e+01,1.59203980099502491186e+01,4.20792079207920810546e+00,2.75000000000000000000e+00,1.74563591022443875822e+00,4.01002506265664138141e+00,4.42786069651741271969e+01
2000,67108864,1048576,5.25006037569432010059e+02,1.73684210526315787604e+01,3.92670157068062808392e+00,2.04724409448818889246e+01,7.57180156657963454592e+00,5.22193211488250597085e+00,1.01827676240208866432e+01,1.69312169312169302771e+01,3.14136125654450237832e+00,6.57894736842105221086e+00,2.42187500000000000000e+01,3.20105820105820129129e+01,2.36842105263157920447e+00
2000,67108864,1048576,4.83572205913749598949e+02,6.56934306569343107185e+00,8.23244552058111445092e+00,1.72330097087378639742e+01,4.35835351089588307616e+00,3.38164251207729460447e+00,1.53284671532846719089e+01,2.34866828087167078820e+01,3.85542168674698837449e+00,1.00000000000000000000e+01,1.28953771289537719724e+01,4.30656934306569283422e+01,4.37956204379562041851e+00
2000,67108864,1048576,5.23549107990118500311e+02,1.56657963446475196889e+01,4.04699738903394248268e+01,9.39947780678851074754e+00,2.63852242744063314461e+00,4.68750000000000000000e+00,1.38743455497382210950e+01,3.93700787401574814339e+00,4.18848167539267013382e+00,7.87401574803149628679e+00,1.57068062827225118916e+00,2.24274406332453821733e+01,2.00000000000000000000e+01
2000,67108864,1048576,4.94507505140405498878e+02,1.55555555555555553582e+01,8.45771144278607067690e+00,1.72839506172839492137e+01,5.67901234567901269656e+00,7.16049382716049365172e+00,2.72277227722772297014e+00,2.09876543209876516016e+01,4.41176470588235325465e+00,2.35148514851485117561e+01,2.46913580246913566540e+00,2.03473945409429290976e+01,2.15880893300248146716e+01
2000,67108864,1048576,5.11879311143535801421e+02,3.06905370843989766527e+00,3.83631713554987241466e+00,1.86224489795918373147e+01,3.51145038167938920992e+01,6.12244897959183642655e+00,5.37084398976982146934e+00,2.04081632653061220140e+01,8.95140664961636822738e+00,2.33160621761658042317e+01,6.94087403598971786067e+00,1.91815856777493607410e+01,1.12244897959183678182e+01
2000,67108864,1048576,5.22204528192125280839e+02,2.62467191601049876226e+00,1.08179419525065956265e+01,1.61458333333333357018e+01,2.30366492146596861801e+01,8.87728459530026015045e+00,2.43386243386243386055e+01,9.94764397905759167884e+00,3.92670157068062808392e+00,1.68421052631578938019e+01,1.31233595800524938113e+00,9.32642487046632062686e+00,1.97368421052631575208e+01
