FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
2000,67108864,1048576,4.02528442156562221044e+02,2.18875502008032114531e+01,2.00803212851405632478e+00,6.46464646464646452984e+00,1.59919028340080977557e+01,6.85483870967741903968e+00,6.84104627766599637795e+00,2.62729124236252538083e+01,1.28514056224899579917e+01,3.03030303030303027612e+00,1.23481781376518213733e+01,2.50000000000000000000e+01,1.35080645161290320289e+01
2000,67108864,1048576,4.42951991534301555475e+02,3.28193832599118948679e+01,8.37004405286343633463e+00,1.33037694013303759988e+01,1.19469026548672569987e+01,1.56950672645739919275e+00,9.57683741648106945377e+00,1.29955947136563878530e+01,1.54867256637168129174e+01,1.50110375275938174866e+01,1.69265033407572360602e+01,4.43458980044345896232e+00,1.15044247787610611766e+01
2000,67108864,1048576,5.05774042917456426949e+02,1.34177215189873404455e+01,1.56410256410256405246e+01,3.28282828282828331723e+00,1.44702842377260978424e+01,1.77215189873417733324e+00,3.69620253164557013292e+01,2.52525252525252508207e+00,2.01511335012594461347e+00,2.09183673469387763078e+01,9.97442455242966730111e+00,9.92366412213740467507e+00,1.49746192893401026680e+01
2000,67108864,1048576,5.16315572077653882843e+02,2.60416666666666678509e+01,2.26804123711340217540e+01,5.16795865633074935630e+00,3.10077519379844979142e+00,9.04392764857881203966e+00,3.56770833333333285964e+01,4.16666666666666607455e+00,1.29198966408268733908e+00,8.31168831168831090395e+00,1.54241645244215934696e+01,3.62694300518134671307e+00,1.44329896907216479462e+01
2000,67108864,1048576,5.15646254294044183553e+02,1.15384615384615383249e+01,1.05398457583547564553e+01,6.18556701030927857943e+00,3.32480818414322287779e+00,1.40259740259740244284e+01,4.20103092783505189800e+01,3.35051546391752586018e+00,9.25449871465295537121e+00,2.07253886010362720071e+00,1.57216494845360816868e+01,1.79948586118251938615e+01,1.94373401534526841772e+01
2000,67108864,2097152,5.23001747610339634775e+02,1.35416666666666660745e+01,2.14659685863874365452e+01,1.87500000000000000000e+01,1.52230971128608914000e+01,1.83727034120734913358e+01,1.75853018372703431282e+01,1.82767624020887708980e+01,3.13315926892950358251e+00,8.13648293963254509720e+00,1.03896103896103895181e+01,7.36842105263157787221e+00,7.32984293193717206805e+00
2000,67108864,2097152,5.10984897841344320568e+02,2.43589743589743576990e+01,3.36787564766839366825e+01,2.62755102040816304054e+01,1.02564102564102554993e+00,4.58015267175572482472e+00,4.11311053984575814013e+00,9.23076923076923172573e+00,4.84693877551020424477e+00,1.68367346938775490628e+01,1.69230769230769233502e+01,8.18414322250639436618e+00,3.06905370843989766527e+00
2000,67108864,2097152,5.39447503261634437877e+02,3.72340425531914887003e+00,2.70270270270270263069e+00,1.95121951219512190789e+01,4.45945945945945965150e+01,1.90217391304347849257e+00,8.13008130081300905978e-01,1.62162162162162171164e+00,1.32075471698113204866e+01,5.96205962059620553362e+00,1.71195652173913046568e+01,5.66037735849056655724e+00,2.90760869565217419108e+01
2000,67108864,2097152,5.33520136517132527842e+02,3.06666666666666642982e+01,3.36000000000000014211e+01,9.81432360742705611756e+00,1.54255319148936163032e+01,5.83554376657824924735e+00,2.68096514745308311944e+00,1.88679245283018870438e+00,1.33689839572192514794e+00,7.18085106382978821671e+00,1.06951871657754011835e+01,1.38666666666666653640e+01,1.91489361702127673937e+01
2000,67108864,2097152,5.44622263613514292047e+02,1.33514986376021802528e+01,4.49591280653950917667e+01,1.00817438692098093611e+01,2.10382513661202210642e+01,1.92307692307692335021e+01,2.46575342465753433174e+00,3.52303523035230314875e+00,9.18918918918918947725e+00,6.52173913043478226115e+00,1.14130434782608691791e+01,6.26702997275204332084e+00,5.46448087431694040639e-01
2000,67108864,4194304,5.16673839821809565365e+02,3.55670103092783520538e+01,1.76623376623376628913e+01,1.18556701030927822416e+01,1.69665809768637529942e+01,1.45077720207253868523e+01,2.08333333333333303727e+00,1.13989637305699478276e+01,3.89610389610389606929e+00,4.93506493506493537637e+00,5.16795865633074935630e+00,2.98701298701298689764e+01,1.54639175257731964486e+00
2000,67108864,4194304,5.49254085489201429482e+02,1.91780821917808230737e+00,9.16666666666666607455e+00,1.83333333333333321491e+01,1.39726027397260281759e+01,1.64835164835164817987e+01,1.19444444444444446418e+01,3.07692307692307700506e+01,4.39560439560439597528e+00,2.51381215469613294999e+01,1.07734806629834256597e+01,2.47933884297520679141e+00,7.18232044198895014375e+00
2000,67108864,4194304,5.17197194618976936908e+02,2.83887468030690541809e+01,1.74479166666666642982e+01,1.32124352331606207400e+01,2.05128205128205109986e+00,8.33333333333333214910e+00,3.89610389610389606929e+00,9.35064935064935021103e+00,2.24226804123711360717e+01,9.06735751295336811495e+00,1.41388174807197959382e+01,2.32558139534883734356e+00,1.97943444730077118265e+01
2000,67108864,4194304,5.20090037987376376805e+02,7.59162303664921456203e+00,1.83462532299741596375e+01,3.90625000000000000000e+01,1.27604166666666660745e+01,1.18110236220472444302e+01,2.08333333333333303727e+00,3.38541666666666651864e+00,1.35064935064935056630e+01,3.64583333333333348136e+00,3.14960629921259851471e+01,1.56657963446475179126e+00,2.33160621761658015672e+00
2000,67108864,4194304,5.31745046329616570802e+02,1.67108753315649849469e+01,6.66666666666666696273e+00,1.06382978723404253429e+01,1.86170212765957443501e+00,1.35638297872340416461e+01,1.61290322580645151263e+00,7.50670241286863237917e+00,1.55080213903743331372e+01,5.63002680965147472847e+00,3.25333333333333314386e+01,3.32439678284182278389e+01,3.44827586206896530285e+00
2000,67108864,8388608,5.13378911113061917604e+02,4.45012787723785194771e+01,1.79028132992327364548e+01,2.85714285714285693984e+01,2.06718346253230000897e+00,1.02827763496143962385e+01,4.60358056265984671995e+00,3.07692307692307709388e+00,2.96391752577319600448e+01,4.60358056265984671995e+00,2.57731958762886570469e+00,5.64102564102564141280e+00,3.88601036269430055725e+00
2000,67108864,8388608,5.39519681812872477167e+02,1.62601626016260181196e+00,2.35135135135135158180e+01,8.37837837837837895449e+00,1.05691056910569116667e+01,1.72972972972972982575e+01,2.60869565217391290446e+01,7.79569892473118297715e+00,2.96495956873315371638e+01,6.48648648648648684656e+00,2.43243243243243245644e+00,8.06451612903225800721e+00,1.48648648648648649129e+01
2000,67108864,8388608,5.38017239686411244293e+02,1.34408602150537626052e+00,1.87165775401069511830e+00,5.39083557951482550408e+00,2.21925133689839562123e+01,3.25203252032520362391e+00,9.67741935483870996393e+00,3.51351351351351359753e+00,3.15363881401617263123e+01,3.66576819407008116514e+01,1.34770889487870637602e+00,7.31707317073170671051e+00,2.29110512129380055057e+01
2000,67108864,8388608,5.07402237542387126723e+02,1.01522842639593910974e+01,4.53400503778337515826e+00,3.62944162436548225514e+01,1.26582278481012666660e+00,1.71355498721227625936e+01,1.49367088607594933336e+01,1.34517766497461916941e+01,2.81329923273657289684e+00,1.40306122448979575523e+01,2.28426395939086290809e+00,2.68542199488491064585e+01,8.88324873096446765430e+00
2000,67108864,8388608,5.31411748450934737775e+02,1.35638297872340416461e+01,1.67108753315649849469e+01,1.19363395225464188343e+01,1.74731182795698920529e+01,2.01591511936339529143e+01,5.31914893617021267147e+00,2.37967914438502674557e+01,5.31914893617021267147e+00,1.32275132275132278892e+00,1.97333333333333342807e+01,6.13333333333333285964e+00,1.85676392572944282122e+00
2000,67108864,16777216,5.04707151246096714203e+02,1.06329113924050631113e+01,7.57575757575757613438e+00,3.80710659898477210561e+00,1.16161616161616159104e+01,1.72588832487309637997e+01,3.34183673469387798605e+01,2.01005025125628122851e+00,1.06598984771573608299e+01,1.76767676767676751304e+00,6.59898477157360474621e+00,2.24489795918367356364e+01,1.83879093198992471514e+01
