FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,16777216,3.04472178702434973729e+02,1.37152043320077847710e+01
3000,16777216,3.00044376563293724303e+02,1.33233283308320817895e+01
3000,16777216,3.20186886682018553074e+02,1.43239625167336015465e+01
3000,16777216,3.38552343408538206404e+02,1.28944146180653671507e+01
3000,16777216,3.33906390901540589766e+02,1.27156371730662218766e+01
3000,16777216,2.91308377591976977783e+02,1.28138668394621735303e+01
3000,33554432,3.36392448886569013666e+02,1.26613054048999451595e+01
3000,33554432,3.47254134234095147349e+02,1.24867213906325442707e+01
3000,33554432,3.68894745844431440673e+02,1.23499846138065443313e+01
3000,33554432,3.48045446382206819180e+02,1.24915270649753082921e+01
3000,33554432,3.23894437620468465866e+02,1.28470970068517846840e+01
3000,33554432,3.56289628313909190638e+02,1.29547031420358802478e+01
3000,33554432,3.65598631198724774549e+02,1.25964271213966689800e+01
3000,33554432,3.81611369271202420350e+02,1.28020347604917343887e+01
3000,33554432,3.52218465616609478275e+02,1.28283026264210118228e+01
3000,33554432,3.31825004341377166384e+02,1.25288736949089898332e+01
3000,67108864,3.39365210586294097084e+02,1.29406220546654093795e+01
3000,67108864,3.68232440099628945518e+02,1.24372502817334300573e+01
3000,67108864,3.87531058999666072395e+02,1.22611980572045329296e+01
3000,67108864,3.54763995617009072703e+02,1.26330311391407192900e+01
3000,67108864,3.38658818511948936703e+02,1.24576271186440692418e+01
3000,67108864,3.48736319074202697266e+02,1.26140112555792747173e+01
3000,67108864,3.92338518043256101464e+02,1.21714472679681531275e+01
3000,67108864,3.98715392168485436741e+02,1.24348308374930667242e+01
3000,67108864,3.38256010640181045801e+02,1.27096287921612951521e+01
3000,67108864,3.20876000036793755044e+02,1.21125502456453766342e+01
3000,134217728,3.27547390648303633043e+02,1.23872026251025424415e+01
3000,134217728,3.85343882164923570599e+02,1.22118580465315744732e+01
3000,134217728,3.72206543366218625124e+02,1.23320239818069055104e+01
3000,134217728,3.28388423957774477913e+02,1.23582144163922436064e+01
3000,134217728,3.26227447081014645391e+02,1.27636363636363636687e+01
3000,134217728,3.62330218098635953083e+02,1.28502318081032047559e+01
3000,134217728,3.97358414243232914487e+02,1.22430939226519335250e+01
3000,134217728,3.42513064019116768577e+02,1.24237223493516406592e+01
3000,134217728,3.38955168433602295863e+02,1.28594324502686898626e+01
3000,134217728,3.29204884610395879463e+02,1.33223382811068358222e+01
3000,268435456,3.43982693542722472557e+02,1.22909299436108199188e+01
3000,268435456,3.35244075566696608348e+02,1.21910269564406306131e+01
3000,268435456,3.23962327068909814898e+02,1.23613740870976478448e+01
3000,268435456,3.04999645692078274806e+02,1.25434064537985943133e+01
3000,268435456,3.64095653753771557604e+02,1.20558761008199208931e+01
3000,268435456,3.91898517095201157190e+02,1.23858199217050888308e+01
3000,268435456,3.22238898681967725679e+02,1.27401054230322525740e+01
3000,268435456,3.32103480344842978411e+02,1.23763748960162676127e+01
3000,268435456,3.23297113280075507191e+02,1.28652341994066361508e+01
3000,268435456,3.82130896900701884533e+02,1.21350461832466294254e+01
