FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU
2000,67108864,1048576,2.34148826867547626307e+02,1.25927372120265523847e+01
2000,67108864,1048576,3.25370328373496477070e+02,1.32926829268292685526e+01
2000,67108864,1048576,3.38949213375139322579e+02,1.29050516485071451456e+01
2000,67108864,1048576,3.80725830953162358128e+02,1.24742104427868589767e+01
2000,67108864,1048576,3.72716343667577291399e+02,1.27623192911549825368e+01
2000,67108864,2097152,3.12612149608672098111e+02,1.26696242171189972225e+01
2000,67108864,2097152,3.67047368196960576370e+02,1.34006424965580546171e+01
2000,67108864,2097152,3.65308013104329063481e+02,1.21627800640146315203e+01
2000,67108864,2097152,3.51363739297240897486e+02,1.27360562143170845673e+01
2000,67108864,2097152,3.91805006484372881914e+02,1.25674129759764667824e+01
2000,67108864,4194304,3.52282180845114396561e+02,1.28468653648509754106e+01
2000,67108864,4194304,3.30505582652422958745e+02,1.31188118811881189174e+01
2000,67108864,4194304,3.52539571685572752813e+02,1.27518752757758484506e+01
2000,67108864,4194304,3.60805158359188055783e+02,1.28101037437979261568e+01
2000,67108864,4194304,3.43941344243152798299e+02,1.22917863296955776065e+01
2000,67108864,8388608,3.72193498188999512877e+02,1.29272840273461788740e+01
2000,67108864,8388608,3.68520805394849787717e+02,1.28193290243151736263e+01
2000,67108864,8388608,3.39113293342833003408e+02,1.26256192498230728205e+01
2000,67108864,8388608,3.44529390079620725373e+02,1.27442528735632194525e+01
2000,67108864,8388608,3.49235235949437026193e+02,1.29266521423384155298e+01
2000,67108864,16777216,3.58717884884560987757e+02,1.26644736842105256613e+01
2000,67108864,16777216,4.00515463401397596499e+02,1.24748827863362361512e+01
2000,67108864,16777216,3.58448505825325867136e+02,1.24307323648345064981e+01
2000,67108864,16777216,3.31440531696900961833e+02,1.27174813587406791981e+01
2000,67108864,16777216,3.55307756030771770384e+02,1.24258600237247929243e+01
2000,67108864,33554432,3.34236105053081701044e+02,1.26185164528722797428e+01
2000,67108864,33554432,3.71733669182312326029e+02,1.24109079640532993238e+01
2000,67108864,33554432,3.98547930470125152169e+02,1.24625623960066551632e+01
2000,67108864,33554432,3.72841341841075632146e+02,1.24163684456200407169e+01
2000,67108864,33554432,3.40740114788529865564e+02,1.26067159931701748832e+01
4000,67108864,1048576,2.34444408366054943826e+02,1.63241338813857908008e+01
4000,67108864,1048576,3.14630614612814383690e+02,1.28082056676967592779e+01
4000,67108864,1048576,3.46881603758531525727e+02,1.24981918125271214137e+01
4000,67108864,1048576,3.13617630328706582077e+02,1.30139224785933738104e+01
4000,67108864,1048576,3.34042645053216745055e+02,1.28087386071105537866e+01
