FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU
2000,67108864,1048576,2.06493348539503529082e+02,1.27899956877964626756e+01
2000,67108864,1048576,3.14292597293595008523e+02,1.25278469401126972826e+01
2000,67108864,1048576,3.75833669547870215411e+02,1.26606079598871819059e+01
2000,67108864,1048576,3.61294322458434464806e+02,1.29879879879879869264e+01
2000,67108864,1048576,3.32832808261842217235e+02,1.28446723015103234644e+01
2000,67108864,1048576,3.31518435657327302124e+02,1.27465857359635812429e+01
2000,67108864,1048576,3.30067317229348930141e+02,1.32883503167171568293e+01
2000,67108864,1048576,3.28290679072552563866e+02,1.29063097514340334726e+01
2000,67108864,1048576,3.81379307846135588989e+02,1.23492063492063479657e+01
2000,67108864,1048576,3.91930695678944459814e+02,1.27126963350785331386e+01
2000,67108864,1048576,3.51194253619144603817e+02,1.25805506736965444503e+01
2000,67108864,1048576,3.33508814554591481283e+02,1.30132219902574810533e+01
2000,67108864,1048576,3.59646122601205320279e+02,1.27512751275127520501e+01
2000,67108864,1048576,3.66675167419298020377e+02,1.27844814418817787072e+01
2000,67108864,1048576,3.68412394940297872381e+02,1.24097680847796034698e+01
2000,67108864,1048576,3.40247850143958885383e+02,1.31556563651828746231e+01
2000,67108864,1048576,3.64625293728463191201e+02,1.29556500607533404690e+01
2000,67108864,1048576,3.89784071318011967833e+02,1.26543209876543212289e+01
2000,67108864,1048576,3.67541795934179162941e+02,1.26611418047882153814e+01
2000,67108864,1048576,3.40157806009363866906e+02,1.28190584231423709838e+01
2000,67108864,2097152,3.45748409600534387209e+02,1.27668782458165033233e+01
2000,67108864,2097152,3.89782552007711444730e+02,1.29315960912052112519e+01
2000,67108864,2097152,3.69174245813933225691e+02,1.24769230769230770051e+01
2000,67108864,2097152,3.59366436971619009455e+02,1.24306492727545361276e+01
2000,67108864,2097152,4.01823959316127741204e+02,1.25879986590680523761e+01
2000,67108864,2097152,3.87960950954364534482e+02,1.21010853717803339435e+01
2000,67108864,2097152,3.49094544751913360869e+02,1.23781818181818188407e+01
2000,67108864,2097152,3.30262933880865261926e+02,1.31615214994487335076e+01
2000,67108864,2097152,3.78685891792021152469e+02,1.29027163613392286123e+01
2000,67108864,2097152,3.56207684753349326456e+02,1.28768750928263777666e+01
2000,67108864,2097152,3.74012000549049616893e+02,1.25643827064148592143e+01
2000,67108864,2097152,3.98565483113179027441e+02,1.23918829008649371559e+01
2000,67108864,2097152,3.83170683764253453774e+02,1.32045345680983547965e+01
2000,67108864,2097152,3.33886694882318295186e+02,1.27538247566063969174e+01
2000,67108864,2097152,3.41284697988638640709e+02,1.25231778633575814297e+01
2000,67108864,2097152,3.75533468763219957509e+02,1.28986866791744834160e+01
2000,67108864,2097152,3.36555742381387688056e+02,1.34596491228070185286e+01
2000,67108864,2097152,3.63797492853198264129e+02,1.25950714937633101442e+01
2000,67108864,2097152,3.80947809578666010566e+02,1.32931472081218284842e+01
2000,67108864,2097152,3.65588539969155306153e+02,1.35032041501373214487e+01
2000,67108864,4194304,3.02871433196708039759e+02,1.30154313179863390104e+01
2000,67108864,4194304,3.69508867289042768789e+02,1.28066656380188241826e+01
2000,67108864,4194304,3.31269853416402554558e+02,1.26209565938623171633e+01
2000,67108864,4194304,3.74332611744835446643e+02,1.25058474972711692885e+01
2000,67108864,4194304,4.10917756043881070127e+02,1.25406887099537431851e+01
2000,67108864,4194304,3.12683310590833855258e+02,2.03652968036529671281e+01
2000,67108864,4194304,3.35560110224785034916e+02,1.45154523842819180857e+01
2000,67108864,4194304,3.48792819332469832716e+02,1.34774408820542586085e+01
2000,67108864,4194304,3.46528623524199588246e+02,1.27653429602888088823e+01
2000,67108864,4194304,3.49794058747912174567e+02,1.25876168224299060938e+01
2000,67108864,4194304,4.15066671121715614845e+02,1.23420460446598578841e+01
2000,67108864,4194304,3.81864199925765603894e+02,1.29329520177947241422e+01
2000,67108864,4194304,3.60723228429607672751e+02,1.22482717162608967243e+01
2000,67108864,4194304,3.34764171195049527796e+02,1.32346782074549782493e+01
2000,67108864,4194304,3.49789409286139289179e+02,1.31575112924377091161e+01
2000,67108864,4194304,3.45115638759868375018e+02,1.26330935251798557317e+01
2000,67108864,4194304,3.58891878258850397287e+02,1.24738259048758592940e+01
2000,67108864,4194304,3.90587314427084550061e+02,1.29876462938881669373e+01
2000,67108864,4194304,3.82716595108231274480e+02,1.32609042978111517641e+01
2000,67108864,4194304,3.61427319857395218605e+02,1.18932770575821518122e+01
2000,67108864,8388608,3.07689562154676139016e+02,1.29686697483307664669e+01
2000,67108864,8388608,3.46839193730673457594e+02,1.26248733169248588126e+01
2000,67108864,8388608,3.69211252155962938559e+02,1.27695625385089321924e+01
2000,67108864,8388608,3.90688028967173238470e+02,1.26547231270358295774e+01
2000,67108864,8388608,3.78868388320396888957e+02,1.22965070333491386378e+01
2000,67108864,8388608,3.45057346805752388263e+02,1.23107971745711406442e+01
2000,67108864,8388608,3.44769153779626662981e+02,1.27068642970211538312e+01
2000,67108864,8388608,3.66415055554934667725e+02,1.28075806205104694158e+01
2000,67108864,8388608,3.36956173795255324421e+02,1.29154396297854443532e+01
2000,67108864,8388608,3.60203752854839876818e+02,1.27098321342925650868e+01
2000,67108864,8388608,3.93276621533586137502e+02,1.26149802890932978272e+01
2000,67108864,8388608,3.71710248144468891951e+02,1.25348621010226235484e+01
2000,67108864,8388608,3.46452568218242959119e+02,1.25705193114422097977e+01
2000,67108864,8388608,3.57431099794048179774e+02,1.29080339842003297690e+01
2000,67108864,8388608,3.82456564407980181386e+02,1.38915470494417849778e+01
2000,67108864,8388608,3.84381207756505261841e+02,1.31097560975609752631e+01
2000,67108864,8388608,3.61371223106076001841e+02,1.29110105580693836913e+01
2000,67108864,8388608,3.75172368254940124643e+02,1.31237290786798048714e+01
2000,67108864,8388608,3.99571419695234908431e+02,1.24312614564239289905e+01
2000,67108864,8388608,4.01605135405187468223e+02,1.28329703467917575210e+01
2000,67108864,16777216,3.62810475064036040749e+02,1.25360012126724260639e+01
2000,67108864,16777216,3.70986757998659982150e+02,1.27745128363748854383e+01
2000,67108864,16777216,3.46319986507373300810e+02,1.25795257374204751954e+01
2000,67108864,16777216,3.69059525610885771130e+02,1.25865517771964920968e+01
2000,67108864,16777216,3.61651423360548221808e+02,1.32531930879038313265e+01
2000,67108864,16777216,3.56850303617159568148e+02,1.26135517498138511883e+01
2000,67108864,16777216,3.70441646087089736739e+02,1.23533045089561461793e+01
2000,67108864,16777216,3.79079583399119428577e+02,1.25495167168436054794e+01
2000,67108864,16777216,3.60296545674883191168e+02,1.21303107641495273583e+01
2000,67108864,16777216,3.27831125008236767826e+02,1.34728491314457663464e+01
2000,67108864,16777216,3.49364261852706647460e+02,1.32004075098238971009e+01
2000,67108864,16777216,3.49656462525568656474e+02,1.27206418672501815337e+01
2000,67108864,16777216,3.75662904152239661926e+02,1.25235404896421851362e+01
2000,67108864,16777216,3.94872501592323374098e+02,1.27404241328291956137e+01
2000,67108864,16777216,3.74078877523956919049e+02,1.27244340359094465498e+01
2000,67108864,16777216,3.55221426388085433246e+02,1.25575865656115315261e+01
2000,67108864,16777216,3.30325772231461257888e+02,1.23344370860927163847e+01
2000,67108864,16777216,3.62065001529724611373e+02,1.42943396226415089245e+01
2000,67108864,16777216,3.27428487981082469105e+02,1.48290013679890559928e+01
2000,67108864,16777216,3.57985785816388386138e+02,1.29065950462548482136e+01
