FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,1048576,1.24916233255915798850e+02,1.44929543329986501021e+01
3000,1048576,1.25113347479760520287e+02,1.46436120447693962632e+01
3000,1048576,1.28981724966334695637e+02,1.47510536466890496143e+01
3000,1048576,1.30392150044854901125e+02,1.47179894561998985125e+01
3000,1048576,1.23457364225603186014e+02,1.53246753246753240063e+01
3000,1048576,1.28022280656332668514e+02,1.46492751568425898512e+01
3000,1048576,1.18596711526663440850e+02,1.46458347009781384429e+01
3000,1048576,1.27406826432278876382e+02,1.47175001763419626144e+01
3000,1048576,1.25204176711171740521e+02,1.44764679360455037482e+01
3000,1048576,1.22602452841886034207e+02,1.51982603377391196631e+01
3000,2097152,1.52395032714387667738e+02,1.43675015786150268582e+01
3000,2097152,1.50868565417967772646e+02,1.70059230833402850180e+01
3000,2097152,1.77560391248403448117e+02,1.49511608501447987862e+01
3000,2097152,1.53240555031160710087e+02,1.42050520059435356757e+01
3000,2097152,1.86491778820750312207e+02,1.46756798596418800429e+01
3000,2097152,1.44329593368690240140e+02,1.43867076726444853563e+01
3000,2097152,1.85555459960131543085e+02,1.46421603860766005312e+01
3000,2097152,1.62241564060594839702e+02,1.47116939105442803282e+01
3000,2097152,1.59961250986561026366e+02,1.44102677583536173955e+01
3000,2097152,1.64177525596233948590e+02,1.45592649868097883115e+01
3000,4194304,2.34527259494249790350e+02,1.40293849954492255705e+01
3000,4194304,2.14821725178853398575e+02,1.39358913250714984144e+01
3000,4194304,1.72429995577170615206e+02,1.39408136922120764467e+01
3000,4194304,2.32471440302380244702e+02,1.41165111039588033748e+01
3000,4194304,2.07308323242600692993e+02,1.41346816823718697265e+01
3000,4194304,2.27264325379485967460e+02,1.43513564549631773559e+01
3000,4194304,2.50193712481889093624e+02,1.45935832582634592569e+01
3000,4194304,2.28811240184379158791e+02,1.48955091151622944778e+01
3000,4194304,2.06974745355521207557e+02,1.39080064234916260801e+01
3000,4194304,1.70010884663539115991e+02,1.32169811320754728712e+01
3000,8388608,2.81241369405476348220e+02,1.55385933483916183206e+01
3000,8388608,2.40846836745744980135e+02,1.37924125033395679196e+01
3000,8388608,2.55816957850318942747e+02,1.35200283587380365447e+01
3000,8388608,2.82763766990214378438e+02,1.35996866431649046092e+01
3000,8388608,2.51084055409229335964e+02,1.34457294134039280209e+01
3000,8388608,2.47178865218308374097e+02,1.37355848434925871260e+01
3000,8388608,2.77555193931977328248e+02,1.38623768472906423455e+01
3000,8388608,2.68136076198552643746e+02,1.35753690174444603400e+01
