FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU
4000,67108864,4194304,3.16997626718018182146e+02,1.30840502978160166947e+01
4000,67108864,4194304,3.15646303166279608376e+02,1.22625329815303434344e+01
4000,67108864,4194304,3.70957548081894458392e+02,1.29946565476651425541e+01
4000,67108864,4194304,3.31572489994178397410e+02,1.26175982291090207355e+01
4000,67108864,4194304,3.08223661575351172814e+02,1.25538342868162224875e+01
4000,67108864,8388608,3.48567049573380074889e+02,1.27362605408548983377e+01
4000,67108864,8388608,3.25510846550362202834e+02,1.28909437041066077256e+01
4000,67108864,8388608,3.51045848957433292981e+02,1.26026995305164319916e+01
4000,67108864,8388608,3.76879924171759284945e+02,1.26100628930817606488e+01
4000,67108864,8388608,3.95997808548127522954e+02,1.23584359758617843283e+01
4000,67108864,16777216,3.43987101171680251355e+02,1.27430580469254515208e+01
4000,67108864,16777216,3.19525032429793782285e+02,1.22715752967853806155e+01
4000,67108864,16777216,3.47193982572771631112e+02,1.29767677498733444708e+01
4000,67108864,16777216,3.75059446922337201613e+02,1.26633795100571351355e+01
4000,67108864,16777216,3.30217211102662133726e+02,1.25111829880944185334e+01
4000,67108864,33554432,3.25486186854459162987e+02,1.24957485885313932528e+01
4000,67108864,33554432,3.56364931588178649235e+02,1.33660787378134990888e+01
4000,67108864,33554432,3.29705012101410318337e+02,1.23570739771318365285e+01
4000,67108864,33554432,3.38415888761343694568e+02,1.25414403611483393775e+01
4000,67108864,33554432,3.71540275012253857767e+02,1.23128248894406091551e+01
6000,67108864,1048576,2.63467839227357728760e+02,1.29162536255828470644e+01
6000,67108864,1048576,2.86655019236223949974e+02,1.35347649077991540878e+01
6000,67108864,1048576,2.93889076270386965462e+02,1.33868589218417177733e+01
6000,67108864,1048576,3.00816822960225067618e+02,1.25120590579254233887e+01
6000,67108864,1048576,3.07385694402982949214e+02,1.27075132637343823916e+01
6000,67108864,2097152,3.10491074235466157916e+02,1.33114215283483972030e+01
6000,67108864,2097152,3.09026796331563502918e+02,1.26168023080566680250e+01
6000,67108864,2097152,3.04715765958180497819e+02,1.25959540268883340985e+01
6000,67108864,2097152,3.07614000210407994018e+02,1.26986166431110554242e+01
6000,67108864,2097152,3.12320139386396078862e+02,1.24118415324336091032e+01
6000,67108864,4194304,3.55864329808418062839e+02,1.25626146902742661382e+01
6000,67108864,4194304,3.32162938765097919713e+02,1.30742212773823833771e+01
6000,67108864,4194304,3.39672009311089141192e+02,1.23445699966904633982e+01
6000,67108864,4194304,3.82023453438535796067e+02,1.25325261536827579079e+01
6000,67108864,4194304,3.52299328540966428136e+02,1.23859958811415129531e+01
6000,67108864,8388608,2.99956866202640071606e+02,1.26543724966622175288e+01
6000,67108864,8388608,3.80899345253070464423e+02,1.25079365079365061320e+01
6000,67108864,8388608,3.80131225100216852297e+02,1.23328223291219529756e+01
6000,67108864,8388608,3.23890660990662752283e+02,1.31151974040021634949e+01
6000,67108864,8388608,3.30105197924474566662e+02,1.24644332262505734832e+01
6000,67108864,16777216,2.86328842853998025930e+02,1.26717374855640940723e+01
6000,67108864,16777216,3.43501473106067408025e+02,1.24068412000764372038e+01
6000,67108864,16777216,3.18336027870955888375e+02,1.25304513442884353225e+01
6000,67108864,16777216,3.52744282911732398134e+02,1.24448583472208600398e+01
6000,67108864,16777216,3.84885742177101064954e+02,1.32487554199453985149e+01
6000,67108864,33554432,3.22227701883308156994e+02,1.22524863363497900082e+01
6000,67108864,33554432,3.47965595945597669925e+02,1.24364375998837726200e+01
6000,67108864,33554432,3.92094230176565247348e+02,1.22787852305003273301e+01
6000,67108864,33554432,3.46733765043839014197e+02,1.23416803635308909293e+01
6000,67108864,33554432,3.14264101894478301347e+02,1.24064264763822613702e+01
