FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,8388608,3.59816249037941304323e+02,2.08133971291866046727e+01,1.12845138055222093953e+01,9.80629539951573825363e+00,1.19076549210206561469e+01,9.66183574879227080601e+00,1.13908872901678659417e+01,1.70468187274909972473e+01,1.67070217917675556407e+01,1.03241296518607441612e+01,1.80048661800486620166e+01,1.42168674698795189926e+01,7.56302521008403338953e+00
3000,8388608,2.97972268912821334652e+02,1.94471865745310950047e+01,1.06893106893106892841e+01,1.27127127127127117490e+01,9.32539682539682601714e+00,2.18436873747494999520e+01,1.12437810945273639618e+01,8.42418235877106091891e+00,7.60760760760760845756e+00,1.59362549800796813315e+01,1.50000000000000000000e+01,1.22754491017964060262e+01,7.10710710710710635851e+00
3000,8388608,3.65896182812465895040e+02,8.27250608272506049445e+00,1.91747572815533970925e+01,8.59950859950859936021e+00,1.70761670761670742991e+01,1.64821648216482152804e+01,1.19512195121951219079e+01,1.00244498777506123588e+01,9.57055214723926361842e+00,1.24694376528117363279e+01,7.82396088019559865501e+00,1.64215686274509806708e+01,1.74876847290640391464e+01
3000,8388608,3.36620734019463611730e+02,9.90990990990990994192e+00,1.35135135135135140416e+01,1.34160090191657275227e+01,1.18834080717488781431e+01,8.88638920134983223420e+00,2.05417607223476288425e+01,8.68094701240135435683e+00,4.94938132733408320263e+00,1.16121758737316795873e+01,9.30493273542600896064e+00,1.67042889390519206927e+01,2.16949152542372871721e+01
3000,8388608,3.59696574357734789373e+02,1.33574007220216621761e+01,1.35654261704681857736e+01,1.82587666263603409789e+01,1.12048192771084345054e+01,1.31642512077294693285e+01,8.19277108433735001825e+00,1.65259348612786496346e+01,1.28174123337363976560e+01,2.18181818181818165669e+01,8.53365384615384670042e+00,9.98796630565583676287e+00,7.67386091127098257658e+00
3000,16777216,3.60351659977939277724e+02,1.16586538461538467004e+01,6.82634730538922163134e+00,1.62259615384615401013e+01,7.41626794258373145396e+00,1.35980746089049340242e+01,1.64053075995174921786e+01,1.48910411622276033228e+01,1.77458033573141484851e+01,1.93509615384615401013e+01,7.34055354993983044665e+00,6.79611650485436857849e+00,1.10843373493975896338e+01
3000,16777216,3.59745012734973443003e+02,1.19189511323003571874e+01,2.38323353293413155995e+01,1.20336943441636581298e+01,5.49581839904420554888e+00,1.42344497607655497973e+01,1.31325301204819275824e+01,1.26050420168067223159e+01,1.16306954436450844526e+01,1.26353790613718395264e+01,1.29341317365269468098e+01,9.49519230769230659917e+00,1.28915662650602413919e+01
3000,16777216,4.24032403990936472837e+02,1.05932203389830501550e+01,1.51343705799151351243e+01,7.32394366197183099843e+00,2.41867043847241873777e+01,1.39830508474576262756e+01,1.03399433427762037496e+01,1.33144475920679870029e+01,1.50997150997150999530e+01,1.18741058655221749518e+01,1.42857142857142846992e+01,1.42253521126760560378e+01,7.64872521246458969557e+00
3000,16777216,3.83401574553586385719e+02,9.43877551020408134264e+00,1.12820512820512828256e+01,1.47668393782383411406e+01,9.02061855670103085458e+00,8.45070422535211207560e+00,1.89258312020460373049e+01,1.00893997445721588235e+01,1.29321382842509606803e+01,8.80102040816326613992e+00,6.39386189258312054307e+00,1.10967741935483861226e+01,2.68292682926829293422e+01
3000,16777216,3.71862733565433529748e+02,1.49014778325123167235e+01,8.07453416149068381458e+00,1.10696517412935317992e+01,9.05707196029776540058e+00,7.42574257425742523253e+00,8.55018587360594750635e+00,1.23904881101376727059e+01,8.76543209876543194525e+00,1.31677018633540363624e+01,2.30864197530864210250e+01,2.18476903870162288968e+01,1.61290322580645160144e+01
