FileSizeMB,BlockSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
3000,2097152,2.25873832448748657953e+02,1.74662668665667162315e+01,1.69924812030075216285e+01,1.10518292682926837500e+01,1.29615674453654854403e+01,2.26686884003032602664e+01,6.61654135338345827932e+00,1.65270373191165269589e+01,1.49321266968325794267e+01,1.11613876319758684730e+01,1.42093200916730335592e+01,1.49923896499238953339e+01,8.62329803328290367403e+00
3000,2097152,2.20582509880442074746e+02,9.60410557184750679482e+00,8.45588235294117751550e+00,1.94139194139194160016e+01,1.49264705882352934907e+01,1.51359294636296848324e+01,2.06896551724137935935e+01,1.76253687315634195443e+01,1.16433308769344137090e+01,1.25925925925925916715e+01,9.08419497784342588886e+00,1.29368029739776950748e+01,1.03345724907063196696e+01
3000,2097152,2.30797476829664304887e+02,1.50000000000000000000e+01,8.57805255023183832463e+00,1.38223938223938223047e+01,1.81176470588235289938e+01,1.29800307219662069969e+01,1.29930394431554514512e+01,8.65533230293663002897e+00,1.31741140215716470152e+01,1.12741312741312746937e+01,1.59442724458204345694e+01,1.20491174213353797740e+01,2.57635082223962434966e+01
3000,2097152,2.18379217111962503850e+02,2.03034682080924859804e+01,9.46831755280407882935e+00,1.26369612856099351461e+01,1.38563049853372426412e+01,9.77222630418809679043e+00,9.91189427312775350742e+00,1.79355783308931187037e+01,1.35829662261380317290e+01,1.98092443140132061785e+01,7.58570386579139288585e+00,1.51205259313367417207e+01,1.46735143066764486264e+01
3000,2097152,2.38435197485939283979e+02,1.44996059889676907062e+01,1.15199999999999995737e+01,1.58526821457165727480e+01,8.06709265175718748253e+00,1.99840127897681867353e+01,1.58615136876006452837e+01,1.75257731958762867919e+01,1.38204924543288338867e+01,1.69070512820512846019e+01,1.27795527156549511005e+01,1.19617224880382782004e+01,1.38955823293172677779e+01
3000,2097152,2.28089217553624536095e+02,1.41779788838612361701e+01,1.37825421133231227344e+01,1.16438356164383556290e+01,1.40015302218821720004e+01,1.72811059907834092542e+01,1.36986301369863010535e+01,1.53374233128834358553e+01,1.33894414690130076906e+01,1.14678899082568808154e+01,1.36329017517136321658e+01,1.54316271963330784445e+01,2.16030534351145035998e+01
3000,2097152,2.10046319414357242294e+02,1.38461538461538467004e+01,1.27659574468085104115e+01,9.97191011235955038217e+00,1.41743444365698074705e+01,1.33285816108339290054e+01,1.84118060435699213429e+01,1.28621908127208470773e+01,1.27272727272727266268e+01,7.99438990182328179657e+00,1.50598170302603797666e+01,1.11500701262272094993e+01,2.21754385964912295037e+01
3000,2097152,2.33635488919252850337e+02,1.46041506533435807569e+01,1.81533646322378743321e+01,1.94250194250194248013e+01,1.56028368794326244284e+01,1.73844949099451824281e+01,2.51188589540412081647e+01,1.24610591900311522551e+01,1.34375000000000000000e+01,1.81960784313725483230e+01,1.78906250000000000000e+01,1.21093750000000000000e+01,1.43413873733437249314e+01
3000,2097152,2.02463467491925769082e+02,1.36700336700336713136e+01,1.26266036461850106321e+01,1.39189189189189175266e+01,1.65873555404486765497e+01,1.26429051782111638857e+01,1.75869120654396731140e+01,1.23232323232323235374e+01,1.04729729729729736931e+01,1.40592694693314950172e+01,1.48122866894197962040e+01,1.98644067796610173104e+01,1.19972733469665993056e+01
3000,2097152,2.32252556384533733080e+02,1.31071703932151120142e+01,1.27244340359094465498e+01,1.42076502732240435023e+01,1.28782001551590390420e+01,1.24116260801256874657e+01,2.10485133020344292731e+01,1.47425897035881430241e+01,1.22861586314152404498e+01,9.58268933539412692824e+00,1.23839009287925705394e+01,1.59499609069585606136e+01,1.50311526479750767749e+01
3000,4194304,2.92558282729689722146e+02,1.57534246575342464780e+01,1.68627450980392161739e+01,1.25853658536585371053e+01,8.66601752677702030780e+00,1.17187500000000000000e+01,1.10671936758893281194e+01,1.82711198428290764184e+01,1.37560975609756113158e+01,1.18164062500000000000e+01,1.07317073170731713816e+01,1.50147203140333669324e+01,1.66666666666666642982e+01
