FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,1048576,1.22549540243144818419e+02,100.0
3000,1048576,1.22478429405209226388e+02,100.0
3000,1048576,1.29304303195488614620e+02,100.0
3000,1048576,1.23671092277927527903e+02,100.0
3000,1048576,1.25135584405703582433e+02,100.0
3000,1048576,1.26037249805030882044e+02,100.0
3000,1048576,1.22399924699566327035e+02,100.0
3000,1048576,1.32378729721067855962e+02,100.0
3000,1048576,1.24818638518233001378e+02,100.0
3000,1048576,1.23622907769852218962e+02,100.0
3000,2097152,1.62348441641660940604e+02,100.0
3000,2097152,1.48568637744942009249e+02,100.0
3000,2097152,1.85978578987272243239e+02,100.0
3000,2097152,1.52923725774524257304e+02,100.0
3000,2097152,1.89365259642810400464e+02,100.0
3000,2097152,1.81335696983698284157e+02,100.0
3000,2097152,1.72038709168332758281e+02,100.0
3000,2097152,1.99226933090630666356e+02,100.0
3000,2097152,1.79768914251486279454e+02,100.0
3000,2097152,1.98463902624612330783e+02,100.0
3000,4194304,2.11544594975660743330e+02,100.0
3000,4194304,2.28198296104175881283e+02,100.0
3000,4194304,1.94561689480321831525e+02,100.0
3000,4194304,1.96939546320870590534e+02,100.0
3000,4194304,2.34322259185256825731e+02,100.0
3000,4194304,2.12981537056515634276e+02,100.0
3000,4194304,2.19003119699440105705e+02,100.0
3000,4194304,2.46900981184499215715e+02,100.0
3000,4194304,2.32923377836191519918e+02,100.0
3000,4194304,1.60516220164047581420e+02,100.0
3000,8388608,2.71572374173503419570e+02,100.0
3000,8388608,2.61681369089010388507e+02,100.0
3000,8388608,2.36324306269998942298e+02,100.0
3000,8388608,2.72471471555749417348e+02,100.0
3000,8388608,2.73614330386385404381e+02,100.0
3000,8388608,2.38331905460406403563e+02,100.0
3000,8388608,2.59900790670185358522e+02,100.0
3000,8388608,2.75854611378782010433e+02,100.0
3000,8388608,2.31218470471320358683e+02,100.0
3000,8388608,2.50634858095556040780e+02,100.0
3000,16777216,3.19645032060929452200e+02,100.0
3000,16777216,2.97520523461575919555e+02,100.0
3000,16777216,2.10319523730036394227e+02,100.0
3000,16777216,3.01479328919072997905e+02,100.0
3000,16777216,3.16390782692791390218e+02,100.0
3000,16777216,2.74729702603265423022e+02,100.0
3000,16777216,2.92083514465679456862e+02,100.0
3000,16777216,3.15630927285788629888e+02,100.0
3000,16777216,3.12494043082303733172e+02,100.0
3000,16777216,2.64932149993279551836e+02,100.0
3000,33554432,3.08501689560919828637e+02,100.0
3000,33554432,3.61665920027467336695e+02,100.0
3000,33554432,3.65515690248358168901e+02,100.0
3000,33554432,3.16175440693233611000e+02,100.0
3000,33554432,3.30525482633309763969e+02,100.0
3000,33554432,3.49947601179183436670e+02,100.0
3000,33554432,3.66115431069800251862e+02,100.0
3000,33554432,3.90204767755975296950e+02,100.0
3000,33554432,3.78139932194468315174e+02,100.0
3000,33554432,3.51650701138750491737e+02,100.0
3000,67108864,3.34813917678855659688e+02,100.0
3000,67108864,3.62232132356723298017e+02,100.0
3000,67108864,3.60202563513617519675e+02,100.0
3000,67108864,3.84868707172130996241e+02,100.0
3000,67108864,3.82595525494316632376e+02,100.0
3000,67108864,3.33014416527105879595e+02,100.0
3000,67108864,3.33715882973849033988e+02,100.0
3000,67108864,3.41939299619410178366e+02,100.0
3000,67108864,3.77294374251620865834e+02,100.0
3000,67108864,3.61613781052980755248e+02,100.0
3000,134217728,3.03642280244213395690e+02,100.0
3000,134217728,3.16889145733409804961e+02,100.0
3000,134217728,3.77247736324958168552e+02,100.0
3000,134217728,3.94980222681949953767e+02,100.0
3000,134217728,3.82065781284405829865e+02,100.0
3000,134217728,3.37696712556272927941e+02,100.0
3000,134217728,3.68210113455354871803e+02,100.0
3000,134217728,3.65272696766922649658e+02,100.0
3000,134217728,3.88652839866868248464e+02,100.0
3000,134217728,3.91306474491709195718e+02,100.0
3000,268435456,3.04219987557402532730e+02,100.0
3000,268435456,3.07863732533735969810e+02,100.0
3000,268435456,3.49539702816684155096e+02,100.0
3000,268435456,3.30155513151359684798e+02,100.0
3000,268435456,3.81449742979163204382e+02,100.0
3000,268435456,3.90422519154454164436e+02,100.0
3000,268435456,3.73295579048014133150e+02,100.0
3000,268435456,3.50526912054199897284e+02,100.0
3000,268435456,3.74208082146158176329e+02,100.0
3000,268435456,3.72784495147277823435e+02,100.0
