FileSizeMB,BlockSizeMB,ChunkSizeMB,ThroughputMBs,CPU0,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11
4000,67108864,1048576,6.14144798761638412543e+02,4.42073170731707332237e+00,5.61538461538461532996e+01,2.03987730061349665789e+01,1.10091743119266070039e+01,2.54901960784313708075e+01,7.05521472392637960525e+00,8.19165378670788157933e+00,8.26952526799387399592e+00,3.24574961360123648291e+00,3.07692307692307709388e+00,1.99692780337941648838e+01,1.17647058823529402360e+01
4000,67108864,1048576,6.23170507707918091000e+02,4.38184663536776213277e+01,2.71755725190839676486e+01,1.27725856697819306618e+01,1.25391849529780552430e+00,1.12500000000000000000e+01,1.65109034267912768712e+01,5.77223088923557003938e+00,1.43749999999999982236e+01,8.15047021943573568592e+00,6.71875000000000000000e+00,7.62052877138413720104e+00,6.55226209048361951659e+00
4000,67108864,1048576,7.13085438688379213090e+02,3.15508021390374331361e+01,6.09318996415770630648e+00,1.74377224199288249906e+01,1.42348754448398562289e+00,1.29144851657940655798e+01,1.00000000000000000000e+01,6.63082437275985636660e+00,3.17939609236234446143e+01,1.60714285714285729512e+01,8.58676207513416756001e+00,5.00000000000000000000e+00,1.43112701252236131921e+01
4000,67108864,1048576,6.96441757185233086602e+02,9.53206239168110869286e+00,4.88656195462478137870e+00,2.83216783216783234423e+01,5.54782608695652186270e+01,1.72061328790459953098e+01,4.52961672473867604793e+00,1.16319444444444446418e+01,4.71204188481675423361e+00,5.21739130434782616419e+00,9.45709281961471148747e+00,9.21739130434782616419e+00,8.72600349040139633416e+00
4000,67108864,1048576,6.92815366090567636093e+02,2.98093587521663749840e+01,5.36332179930795849288e+00,3.37391304347826093135e+01,4.87804878048780476973e+00,1.56196943972835313730e+01,8.18815331010452851501e+00,3.97923875432525964158e+00,4.34027777777777767909e+00,2.29565217391304337013e+01,3.46020761245674757234e+00,1.59722222222222214327e+01,1.64075993091537135626e+01
4000,67108864,1048576,7.26508968208330770722e+02,2.26102941176470579876e+01,7.46812386156648511104e+00,1.66361974405850112646e+01,1.55109489051094904255e+01,1.24555160142348757546e+01,3.35164835164835110959e+01,3.64298724954462693759e+00,8.54545454545454497008e+00,5.30164533820840944145e+00,2.69581056466302371177e+01,9.25589836660616960273e+00,1.81818181818181812126e+00
4000,67108864,1048576,7.43071370333209870296e+02,6.32653061224489832171e+01,3.89610389610389606929e+00,1.04129263913824061660e+01,2.61194029850746245458e+00,2.27016885553470899595e+01,2.42085661080074476814e+00,7.64925373134328356883e+00,2.60223048327137540525e+00,2.10037174721189607851e+01,1.39405204460966540836e+01,1.18959107806691442022e+01,1.48698884758364302527e+00
4000,67108864,1048576,7.27873951156382418048e+02,6.31768953068592011846e+01,8.39416058394160558009e+00,1.03019538188277088864e+01,9.74264705882352899380e+00,1.50909090909090917165e+01,2.19780219780219798764e+00,1.14180478821362800801e+01,2.37226277372262739362e+00,2.00364298724954448261e+00,1.64835164835164817987e+01,1.09090909090909082835e+01,1.12932604735883437286e+01
4000,67108864,1048576,7.35702134805277069063e+02,5.03663003663003649990e+01,5.90405904059040587128e+00,1.30357142857142864756e+01,6.44567219152854509190e+00,2.46777163904235727898e+01,4.02930402930402919992e+00,9.46196660482374696244e+00,2.58302583025830267971e+00,1.06422018348623854678e+01,1.53136531365313661723e+01,1.95211786372007374268e+01,8.08823529411764674535e+00
4000,67108864,1048576,7.27306183357161671665e+02,2.83121597096188715170e+01,1.55797101449275352536e+01,1.23239436619718318866e+01,5.40000000000000000000e+01,1.05263157894736831821e+01,3.81125226860254073813e+00,1.27272727272727266268e+01,2.91438979963570110598e+00,3.26678765880217758522e+00,2.73722627737226309463e+00,1.09489051094890523785e+01,7.84671532846715358289e+00
4000,67108864,1048576,7.08893942908871849795e+02,3.81461675579322658791e+01,1.43872113676731814280e+01,8.18505338078291799775e+00,1.57243816254416977074e+01,4.06360424028268507612e+00,6.08228980322003565107e+00,1.70212765957446805487e+01,3.57015985790408549860e+01,1.78253119429590034528e+00,7.35551663747810824390e+00,1.41592920353982298920e+00,1.24333925399644762422e+01
4000,67108864,1048576,6.75951194295918298849e+02,7.62711864406779671555e+00,7.26351351351351315344e+00,1.53583617747440275281e+01,7.30050933786078015686e+00,8.79864636209813966161e+00,7.97962648556876086303e+00,2.27805695142378539231e+01,3.20404721753794285988e+00,5.42372881355932179304e+00,3.29450915141430940025e+01,2.28426395939086290809e+01,1.49659863945578237576e+01
4000,67108864,1048576,6.25050297016088052260e+02,1.00463678516228753779e+01,9.07668231611893716604e+00,1.96567862714508585498e+01,1.40186915887850460649e+00,1.61949685534591196756e+01,1.89358372456964012542e+01,3.63494539781591257110e+01,7.36677115987460773283e+00,1.41524105754276821045e+01,1.21951219512195123684e+01,2.83464566929133843232e+00,1.68750000000000000000e+01
4000,67108864,1048576,6.91356744401090622887e+02,2.31686541737649065453e+01,4.21686746987951863730e+01,1.98961937716262973197e+01,2.06540447504302937531e+00,1.54513888888888892836e+01,6.78260869565217472399e+00,1.55172413793103447510e+00,1.41379310344827597845e+01,9.05923344947735209587e+00,7.13073005093378675667e+00,7.97227036395147248271e+00,3.06368330464716009942e+01
4000,67108864,1048576,6.66979702473694374021e+02,1.49328859060402692194e+01,1.45973154362416117635e+01,7.35785953177257567859e+00,2.00000000000000000000e+00,1.17940199335548161486e+01,5.00834724540901543577e+00,6.85618729096989909522e+00,4.63210702341137121607e+01,1.10552763819095485331e+01,2.68533772652388798008e+01,8.23529411764705798760e+00,1.35225375626043398114e+01
4000,67108864,1048576,7.21768781010119027997e+02,2.08633093525179873495e+01,3.32129963898916997778e+01,4.86486486486486491287e+00,6.54545454545454585826e+00,8.54545454545454497008e+00,1.57323688969258572712e+01,3.91843971631205647554e+01,6.17059891107078062333e+00,1.33574007220216621761e+01,1.88848920863309359675e+01,8.52994555353902050854e+00,2.52252252252252251452e+00
4000,67108864,1048576,7.17065109870508763379e+02,6.42857142857142793702e+00,3.97111913357400725388e+00,2.69784172661870513821e+00,1.15864527629233506900e+01,2.32142857142857161890e+00,6.08228980322003565107e+00,1.64335664335664333180e+01,3.27338129496402885366e+01,4.73873873873873847629e+01,2.77777777777777785673e+01,6.97674418604651158660e+00,3.58422939068100321336e+00
4000,67108864,1048576,7.12266438931343941476e+02,1.32616487455197127332e+01,1.35472370766488410254e+01,5.69395017793594249156e+00,2.00000000000000000000e+01,2.38859180035650631169e+01,6.07142857142857117481e+00,2.44642857142857117481e+01,2.78276481149012546723e+01,5.74912891986062746241e+00,2.67379679144385029588e+00,1.50268336314847950064e+01,1.95381882770870363153e+00
4000,67108864,1048576,6.84801582165575382533e+02,1.13945578231292525828e+01,4.63917525773195915662e+00,9.33786078098472138720e+00,2.13675213675213662157e+01,3.06506849315068485851e+01,2.75387263339070598178e+00,9.12220309810671281525e+00,2.95336787564766822811e+01,1.59663865546218470826e+01,1.23924268502581753637e+01,8.08950086058519879373e+00,6.50684931506849295602e+00
4000,67108864,1048576,7.09412430927615332621e+02,5.50621669626998233582e+00,1.08540925266903904856e+01,2.19469026548672552224e+01,1.20781527531083483495e+01,2.06713780918727927371e+01,6.61896243291592156766e+00,9.69479353680430833151e+00,5.16814159292035455451e+01,4.82758620689655160163e+00,3.73001776198934242856e+00,1.54255319148936163032e+01,8.70337477797513336952e+00
4000,67108864,1048576,7.15970418250229158730e+02,5.10830324909747304218e+01,1.31059245960502703809e+01,2.50447227191413235303e+00,1.14901256732495511415e+01,2.27191413237924848545e+01,9.15619389587073584380e+00,1.06951871657754011835e+01,2.86738351254480283714e+00,1.98245614035087740490e+01,7.24637681159420310451e+00,3.39285714285714279370e+00,1.10307414104882450800e+01
4000,67108864,1048576,7.30813184966076619276e+02,5.82877959927140221197e+00,7.70642201834862383691e+00,3.40073529411764710062e+01,2.37226277372262739362e+00,1.09689213893967085767e+00,8.44036697247706513281e+00,7.27272727272727248504e+00,1.82149362477231346880e+00,3.45259391771019679140e+01,3.35779816513761488750e+01,2.03669724770642197598e+01,5.86080586080586041220e+00
4000,67108864,1048576,6.39550984045121595045e+02,3.21027287319422143241e+01,6.66666666666666696273e+00,4.00641025641025638748e+00,4.82315112540192902912e+00,9.40988835725677752464e+00,1.05939004815409312243e+01,1.02728731942215087969e+01,1.16987179487179489001e+01,1.15444617784711400788e+01,1.60513643659711058298e+00,5.08090614886731373190e+01,7.07395498392282995326e+00
4000,67108864,1048576,7.00085725497087082658e+02,3.48432055749128899436e+00,4.86956521739130465676e+00,3.14685314685314709848e+00,1.37152777777777785673e+01,1.14035087719298235953e+01,1.30511463844797166445e+01,8.08435852372583418912e+00,1.37323943661971838992e+01,1.54109589041095897954e+01,1.74825174825174833870e+00,6.19546247818499082882e+01,1.44366197183098599055e+01
4000,67108864,1048576,7.09127319555462236167e+02,1.54255319148936163032e+01,7.66488413547237001922e+00,3.76344086021505397355e+00,2.06039076376554177727e+01,1.66666666666666642982e+01,3.20921985815602823777e+01,1.49647887323943660220e+01,3.55239786856127848225e+00,1.97207678883071544362e+01,9.25266903914590699287e+00,1.49732620320855609464e+01,1.12500000000000000000e+01
4000,67108864,1048576,7.04201052217212236428e+02,1.46902654867256643456e+01,4.62633451957295349644e+00,5.29100529100529115567e+00,3.36283185840707954384e+00,1.11111111111111107164e+01,2.58802816901408441197e+01,9.39716312056737557157e+00,4.33691756272401391925e+01,1.22413793103448274024e+01,8.78734622144112442754e+00,1.39860139860139853774e+00,1.97158081705150962648e+01
4000,67108864,1048576,6.83523028061696209079e+02,1.23938879456706292359e+01,9.79381443298969145417e+00,4.12371134020618512750e+00,8.21917808219177992157e+00,1.62671232876712323900e+01,3.53242320819112620711e+01,1.61564625850340135571e+01,2.21465076660988069435e+00,1.08877721943048584308e+01,2.03418803418803406657e+01,1.83848797250859128383e+01,1.36752136752136763675e+01
4000,67108864,1048576,6.81576377108030555974e+02,9.66101694915254327611e+00,5.49828178694158076212e+00,2.02725724020442932272e+01,6.14334470989761083359e+00,1.86757215619694383335e+00,2.21843003412969297372e+00,5.28109028960817727949e+00,5.11073253833049356842e-01,2.72268907563025202023e+01,9.02896081771720560027e+00,5.63039723661485354000e+01,1.68096054888507708824e+01
