FileSizeMB,BlockSizeMB,ThroughputMBs,CPU
3000,8388608,2.69202409792291518897e+02,1.33863585202971417942e+01
3000,8388608,2.28940489361822272940e+02,1.32894820869787348983e+01
3000,8388608,2.45603935164490792431e+02,1.33515919205751458776e+01
3000,8388608,2.74205213902460286590e+02,1.33694739253264103240e+01
3000,8388608,2.40139684451651845620e+02,1.32437491643267826191e+01
3000,16777216,2.81107074621747017318e+02,1.29385964912280719830e+01
3000,16777216,3.22953117757103541408e+02,1.29087315846209129688e+01
3000,16777216,3.04365946888548080551e+02,1.43159857602983553448e+01
3000,16777216,2.02819981986881344938e+02,1.23947799559346929499e+01
3000,16777216,2.91053961695552288802e+02,1.27420008100445514287e+01
3000,16777216,3.19428368028755357955e+02,1.27759971509971510528e+01
3000,16777216,2.80546800677015539804e+02,1.28523463730772231628e+01
3000,16777216,2.84077539153697046004e+02,1.30304227578032403301e+01
3000,16777216,3.09098531648031951136e+02,1.31220940244532453534e+01
3000,16777216,3.19126868886725901575e+02,1.29550701473983309597e+01
3000,33554432,3.00711513512121030089e+02,1.27593708165997323789e+01
3000,33554432,3.16555170659640850772e+02,1.28214159915463206119e+01
3000,33554432,3.54951244488642430497e+02,1.23331025615666121098e+01
3000,33554432,3.63773362889514885410e+02,1.27243232282267051403e+01
3000,33554432,3.13167045807570104898e+02,1.35956131952302197163e+01
3000,33554432,3.17803814620373827893e+02,1.30238726790450929371e+01
3000,33554432,3.41976056204448809694e+02,1.24750214102198100363e+01
3000,33554432,3.68191088229262277309e+02,1.25410846343467561326e+01
3000,33554432,3.22508895601612948667e+02,1.29185743783104403093e+01
3000,33554432,3.15232938227373722384e+02,1.26109499956059405434e+01
3000,67108864,3.36435606056782944506e+02,1.24812453113278323258e+01
3000,67108864,3.79721648842532488288e+02,1.26808151198395115955e+01
3000,67108864,3.64695971203606120525e+02,1.26116071428571423496e+01
3000,67108864,3.29993578324965824322e+02,1.24402353806546539516e+01
3000,67108864,3.72992554073973849427e+02,1.25493045463981740539e+01
3000,67108864,3.61911035029369088534e+02,1.28623188405797090894e+01
